Date,GOOGL,dayofweek,weekly_ret
2013-01-18,353.3457444631048,4,0.002737238641137285
2013-01-25,378.00185551590215,4,-0.047946593872890464
2013-02-01,389.00080822924315,4,0.0697789953300878
2013-02-08,393.9009344494594,4,0.029097615667334376
2013-02-15,397.67257714915496,4,0.01259669932955143
2013-02-22,401.0931360869109,4,0.00957510472770795
2013-03-01,404.3431686260103,4,0.00860144534550833
2013-03-08,417.04738532591585,4,0.008102937314776737
2013-03-15,408.4117278786607,4,0.03141939245091119
2013-03-22,406.4095473391412,4,-0.020706657687127095
2013-04-05,392.73734255274485,4,-0.004902358093189618
2013-04-12,396.2481801721423,4,-0.03364144586639639
2013-04-19,401.17338380392573,4,0.008939403614073083
2013-04-26,401.95078356250656,4,0.012429593063730371
2013-05-03,424.1693702109793,4,0.0019378148949202867
2013-05-10,441.477799674609,4,0.055276883531731213
2013-05-17,455.9976209719744,4,0.04080546753062486
2013-05-24,438.01210139603234,4,0.032889131249786985
2013-05-31,436.9578470137504,4,-0.039442134670802265
2013-06-07,441.22702555893784,4,-0.002406906975679024
2013-06-14,438.87476435394143,4,0.009770229724363144
2013-06-21,441.82888343654867,4,-0.005331181157855469
2013-06-28,441.548016426997,4,0.006731120863046058
2013-07-05,448.12832922221054,4,-0.0006356918256839039
2013-07-12,462.92901752912775,4,0.014902824948600957
2013-07-19,449.6871411252231,4,0.03302778990251709
2013-07-26,444.0457266190826,4,-0.02860455037919818
2013-08-02,454.68858008817045,4,-0.012545198628594045
2013-08-09,446.58356066967565,4,0.023967922290619503
2013-08-16,429.78069182323924,4,-0.017825429917160296
2013-08-23,436.45228639655716,4,-0.037625363596545336
2013-08-30,424.7611971239635,4,0.015523253371423795
2013-09-06,441.1517933242364,4,-0.026786637708139382
2013-09-13,445.91048294321405,4,0.03858779076632435
2013-09-20,452.95322320772544,4,0.010786966506741935
2013-09-27,439.5518544662538,4,0.0157940674953998
2013-10-04,437.52559961163007,4,-0.029586650574127238
2013-10-11,437.3450422483468,4,-0.004609819829071604
2013-10-18,507.2708966621182,4,-0.0004126783974321979
2013-10-25,509.17176445890635,4,0.1598871546692051
2013-11-01,515.1100955180015,4,0.003747243946569778
2013-11-08,509.58804949092047,4,0.011662726556343372
2013-11-15,518.3801899863546,4,-0.010720127745754926
2013-11-22,517.5426044400126,4,0.017253427556273238
2013-11-29,531.4354904481999,4,-0.0016157746042804177
2013-12-06,536.5914062664007,4,0.02684394654468991
2013-12-13,532.0373483258109,4,0.009701865816023059
2013-12-20,552.0140143801826,4,-0.008487012440763664
2013-12-27,560.9315419334523,4,0.03754748819276199
2014-01-03,554.2107956334628,4,0.016154531082480883
2014-01-10,566.839780098667,4,-0.011981402002861241
2014-01-17,577.0462866064868,4,0.02278733031674207
2014-01-24,563.6549488296421,4,0.018005981348103717
2014-01-31,592.3134147685524,4,-0.023206696044431596
2014-02-07,590.5429495119135,4,0.0508439888595249
2014-02-14,603.2622126587593,4,-0.0029890683082548497
2014-02-21,603.7587454077884,4,0.021538252479956332
2014-02-28,609.7071074315105,4,0.0008230794812105202
2014-03-07,609.2757759525558,4,0.009852216748768461
2014-03-14,588.2157657184842,4,-0.0007074404639495491
2014-03-21,593.3516196074315,4,-0.03456564509092108
2014-03-28,561.8092513383017,4,0.0087312414733971
2014-04-04,545.25,4,-0.053159656478225625
2014-04-11,537.76,4,-0.02947486410886868
2014-04-25,523.1,4,-0.013736817973406756
2014-05-02,533.87,4,-0.027261231776257056
2014-05-09,526.62,4,0.020588797553048988
2014-05-16,528.3,4,-0.01358008503942909
2014-05-23,563.8,4,0.0031901560897800163
2014-05-30,571.65,4,0.06719666855953066
2014-06-06,566.03,4,0.01392337708407232
2014-06-13,560.35,4,-0.009831190413714719
2014-06-20,566.52,4,-0.010034803808985249
2014-06-27,585.69,4,0.011010975283304969
2014-07-11,586.65,4,0.033838169879262914
2014-07-18,605.11,4,0.0016390923526095058
2014-07-25,598.08,4,0.03146680303417715
2014-08-01,573.6,4,-0.011617722397580521
2014-08-08,577.94,4,-0.0409309791332263
2014-08-15,583.71,4,0.007566248256624775
2014-08-22,592.54,4,0.009983735335848065
2014-08-29,582.36,4,0.015127374895067547
2014-09-05,597.78,4,-0.017180274749383884
2014-09-12,584.9,4,0.02647846692767364
2014-09-19,605.4,4,-0.021546388303389175
2014-09-26,587.9,4,0.035048726277996156
2014-10-03,586.25,4,-0.028906508093822225
2014-10-10,555.19,4,-0.002806599761864259
2014-10-17,522.97,4,-0.05298081023454149
2014-10-24,548.9,4,-0.05803418649471359
2014-10-31,567.87,4,0.04958219400730424
2014-11-07,551.82,4,0.03456002914920764
2014-11-14,555.19,4,-0.028263511014844922
2014-11-21,545.89,4,0.006107063897647702
2014-11-28,549.08,4,-0.016751022172589725
2014-12-05,528.08,4,0.005843668138269642
2014-12-12,521.51,4,-0.03824579296277408
2014-12-19,520.04,4,-0.01244129677321626
2014-12-26,541.52,4,-0.0028187378957259535
2015-01-02,529.55,4,0.04130451503730481
2015-01-09,500.72,4,-0.02210444674250267
2015-01-16,510.455,4,-0.05444245113775836
2015-01-23,541.95,4,0.0194420035149383
2015-01-30,537.55,4,0.06169985601081396
2015-02-06,533.875,4,-0.00811883015038306
2015-02-13,551.16,4,-0.006836573342014596
2015-02-20,541.8,4,0.0323764926246779
2015-02-27,562.63,4,-0.01698236446766821
2015-03-06,572.9,4,0.038445921004060635
2015-03-13,553.0,4,0.01825355917743443
2015-03-20,564.95,4,-0.03473555594344557
2015-03-27,557.55,4,0.02160940325497296
2015-04-10,548.54,4,-0.013098504292415436
2015-04-17,532.74,4,-0.01615998565151111
2015-04-24,573.66,4,-0.028803733547234422
2015-05-01,551.16,4,0.0768104516274355
2015-05-08,548.95,4,-0.03922183871979923
2015-05-15,546.49,4,-0.004009724943754844
2015-05-22,554.52,4,-0.004481282448310475
2015-05-29,545.32,4,0.014693772987611764
2015-06-05,549.53,4,-0.016590925485104102
2015-06-12,547.47,4,0.0077202376586222865
2015-06-19,557.52,4,-0.0037486579440612067
2015-06-26,553.06,4,0.018357170255904443
2015-07-10,556.11,4,-0.007999713014779752
2015-07-17,699.62,4,0.005514772357429587
2015-07-24,654.77,4,0.25806045566524616
2015-07-31,657.5,4,-0.06410622909579489
2015-08-07,664.39,4,0.00416940299647206
2015-08-14,689.37,4,0.010479087452471392
2015-08-21,644.03,4,0.037598398530983346
2015-08-28,659.69,4,-0.06577019597603617
2015-09-04,628.96,4,0.024315637470304408
2015-09-11,655.3,4,-0.0465824857129864
2015-09-18,660.92,4,0.04187865683032288
2015-09-25,640.15,4,0.008576224629940565
2015-10-02,656.99,4,-0.031425891181988685
2015-10-09,671.24,4,0.02630633445286268
2015-10-16,695.32,4,0.021689827851260945
2015-10-23,719.33,4,0.035873905011620355
2015-10-30,737.39,4,0.034530863487315155
2015-11-06,761.6,4,0.02510669650925168
2015-11-13,740.07,4,0.03283201562266913
2015-11-20,777.0,4,-0.028269432773109227
2015-11-27,771.97,4,0.049900685070331185
2015-12-04,779.21,4,-0.006473616473616439
2015-12-11,750.42,4,0.009378602795445445
2015-12-18,756.85,4,-0.03694767777620933
2016-01-08,730.91,4,0.008568534953759421
2016-01-15,710.49,4,-0.034273634141507636
2016-01-22,745.46,4,-0.027937776196795716
2016-01-29,761.35,4,0.04921955270306411
2016-02-05,703.76,4,0.021315697690016844
2016-02-12,706.89,4,-0.07564195179615163
2016-02-19,722.11,4,0.004447538933727291
2016-02-26,724.86,4,0.021530931262289776
2016-03-04,730.22,4,0.003808284056445732
2016-03-11,744.87,4,0.007394531357779455
2016-03-18,755.41,4,0.02006244693380066
2016-04-01,769.67,4,0.01415012015519479
2016-04-08,759.47,4,0.018877166042281734
2016-04-15,780.0,4,-0.013252432860836327
2016-04-22,737.77,4,0.027032009164285498
2016-04-29,707.88,4,-0.05414102564102563
2016-05-06,725.18,4,-0.040513981322092274
2016-05-13,724.83,4,0.024439170480872408
2016-05-20,721.71,4,-0.0004826387931270437
2016-05-27,747.6,4,-0.004304457596953748
2016-06-03,735.86,4,0.035873134638566784
2016-06-10,733.19,4,-0.01570358480470846
2016-06-17,704.25,4,-0.0036284075775282476
2016-06-24,685.2,4,-0.03947135121864731
2016-07-01,710.25,4,-0.027050053248136252
2016-07-08,717.78,4,0.0365586690017512
2016-07-15,735.63,4,0.010601900739176218
2016-07-22,759.28,4,0.024868344060854364
2016-07-29,791.34,4,0.03214931419327649
2016-08-05,806.93,4,0.042224212411758666
2016-08-12,807.05,4,0.019700760734955747
2016-08-19,799.65,4,0.0001487117841696417
2016-08-26,793.22,4,-0.00916919645622949
2016-09-02,796.87,4,-0.008041017945351059
2016-09-09,788.48,4,0.004601497692947598
2016-09-16,797.97,4,-0.010528693513371046
2016-09-23,814.96,4,0.012035815746753276
2016-09-30,804.06,4,0.021291527250397957
2016-10-07,800.71,4,-0.013374889565132109
2016-10-14,804.6,4,-0.0041663557445960064
2016-10-21,824.06,4,0.004858188357832471
2016-10-28,819.56,4,0.024185930897340224
2016-11-04,781.1,4,-0.005460767419848023
2016-11-11,771.75,4,-0.04692761969837467
2016-11-18,775.97,4,-0.011970298297273141
2016-11-25,780.23,4,0.005468091998704239
2016-12-02,764.46,4,0.005489902960166049
2016-12-09,809.45,4,-0.02021198877254138
2016-12-16,809.84,4,0.05885200010464908
2016-12-23,807.8,4,0.0004818086354931861
2016-12-30,792.45,4,-0.0025190161019461588
2017-01-06,825.21,4,-0.019002228274325184
2017-01-13,830.94,4,0.04134014764338434
2017-01-20,828.17,4,0.00694368706147519
2017-01-27,845.03,4,-0.0033335740245987733
2017-02-03,820.13,4,0.020358139029426292
2017-02-10,834.85,4,-0.02946640947658663
2017-02-17,846.55,4,0.017948374038262216
2017-02-24,847.81,4,0.01401449362160867
2017-03-03,849.08,4,0.0014883940700489706
2017-03-10,861.405,4,0.0014979771411047782
2017-03-17,872.37,4,0.01451571112262684
2017-03-24,835.14,4,0.012729204032946306
2017-03-31,847.8,4,-0.04267684583376319
2017-04-07,842.1,4,0.01515913499533017
2017-04-21,858.95,4,-0.006723283793347412
2017-04-28,924.52,4,0.020009500059375407
2017-05-05,950.28,4,0.07633738867221607
2017-05-12,955.14,4,0.027863107342188442
2017-05-19,954.65,4,0.005114282106326584
2017-05-26,993.27,4,-0.0005130137990242423
2017-06-02,996.12,4,0.04045461687529461
2017-06-09,970.12,4,0.0028693104593917607
2017-06-16,958.62,4,-0.026101272939003328
2017-06-23,986.09,4,-0.011854203603677949
2017-06-30,929.68,4,0.02865577601134972
2017-07-07,940.81,4,-0.057205731728341314
2017-07-14,976.91,4,0.01197186128560368
2017-07-21,993.84,4,0.03837119078241091
2017-07-28,958.33,4,0.017330153238271695
2017-08-04,945.79,4,-0.035730097399983896
2017-08-11,930.09,4,-0.013085262905262351
2017-08-18,926.18,4,-0.016599879465843292
2017-08-25,930.5,4,-0.00420389424679346
2017-09-01,951.99,4,0.004664320110561615
2017-09-08,941.41,4,0.0230951101558301
2017-09-15,935.29,4,-0.01111356211724912
2017-09-22,943.26,4,-0.006500886967421238
2017-09-29,973.72,4,0.008521421163489418
2017-10-06,993.64,4,0.032292263002777544
2017-10-13,1007.87,4,0.020457626422380137
2017-10-20,1005.07,4,0.014321082082041858
2017-10-27,1033.67,4,-0.002778136069135906
2017-11-03,1049.99,4,0.028455729451680067
2017-11-10,1044.15,4,0.015788404423074942
2017-11-17,1035.89,4,-0.005561957732930667
2017-11-24,1056.52,4,-0.007910740793947268
2017-12-01,1025.07,4,0.01991524196584571
2017-12-08,1049.38,4,-0.029767538711997887
2017-12-15,1072.0,4,0.023715453578780243
2017-12-22,1068.86,4,0.021555585202690963
2017-12-29,1053.4,4,-0.0029291044776120767
2018-01-05,1110.29,4,-0.014464008382762739
2018-01-12,1130.65,4,0.0540060755648375
2018-01-19,1143.5,4,0.01833755145052196
2018-01-26,1187.56,4,0.01136514394374899
2018-02-02,1119.2,4,0.03853082641014427
2018-02-09,1046.27,4,-0.057563407322577254
2018-02-16,1095.5,4,-0.065162616154396
2018-02-23,1128.09,4,0.04705286398348418
2018-03-02,1084.14,4,0.029748973071656692
2018-03-09,1160.84,4,-0.03895965747413754
2018-03-16,1134.42,4,0.07074732045676746
2018-03-23,1026.55,4,-0.02275938113779663
2018-04-06,1009.95,4,-0.09508823892385543
2018-04-13,1036.04,4,-0.016170668744824757
2018-04-20,1077.32,4,0.025832962027823037
2018-04-27,1031.45,4,0.039844021466352686
2018-05-04,1051.0,4,-0.042577878439089445
2018-05-11,1103.38,4,0.018953899849726064
2018-05-18,1069.64,4,0.04983824928639402
2018-05-25,1084.08,4,-0.030578767061211876
2018-06-01,1135.0,4,0.013499869114842244
2018-06-08,1132.71,4,0.04697070326913155
2018-06-15,1159.27,4,-0.002017621145374404
2018-06-22,1169.29,4,0.023448190622489484
2018-06-29,1129.19,4,0.008643370396887784
2018-07-06,1155.08,4,-0.034294315353761595
2018-07-13,1204.42,4,0.022927939496452998
2018-07-20,1197.88,4,0.042715656058454954
2018-07-27,1252.89,4,-0.00542999950183487
2018-08-03,1238.16,4,0.04592279694126278
2018-08-10,1252.51,4,-0.011756818236237865
2018-08-17,1215.85,4,0.01158977838082298
2018-08-24,1236.75,4,-0.029269227391398145
2018-08-31,1231.8,4,0.01718962043015182
2018-09-07,1177.59,4,-0.004002425712553048
2018-09-14,1177.98,4,-0.04400876765708717
2018-09-21,1172.12,4,0.00033118487758909687
2018-09-28,1207.08,4,-0.0049746175656633085
2018-10-05,1167.83,4,0.029826297648704925
2018-10-12,1120.54,4,-0.03251648606554658
2018-10-19,1105.18,4,-0.04049390750366055
2018-10-26,1083.75,4,-0.013707676655898005
2018-11-02,1071.49,4,-0.019390506523824236
2018-11-09,1077.02,4,-0.011312572087658568
2018-11-16,1068.27,4,0.005161037433853766
2018-11-23,1030.1,4,-0.008124268815806523
2018-11-30,1109.65,4,-0.035730667340653666
2018-12-07,1046.58,4,0.07722551208620532
2018-12-14,1051.71,4,-0.05683774163024391
2018-12-21,991.25,4,0.004901679756922572
2018-12-28,1046.68,4,-0.05748733015755292
2019-01-04,1078.07,4,0.05591929382093319
2019-01-11,1064.47,4,0.029990063820843016
2019-01-18,1107.3,4,-0.012615136308402941
2019-01-25,1101.51,4,0.04023598598363498
2019-02-01,1118.62,4,-0.005228935247900246
2019-02-08,1102.38,4,0.015533222576281647
2019-02-15,1119.63,4,-0.014517888112137944
2019-02-22,1116.56,4,0.015647961682904166
2019-03-01,1148.52,4,-0.0027419772603450854
2019-03-08,1149.97,4,0.028623629719853882
2019-03-15,1190.3,4,0.001262494340542597
2019-03-22,1207.65,4,0.03507048009948077
2019-03-29,1176.89,4,0.014576157271276369
2019-04-05,1211.45,4,-0.02547095598890403
2019-04-12,1222.73,4,0.029365531188131344
2019-04-26,1277.42,4,0.009311156052664193
2019-05-03,1189.55,4,0.04472778127632426
2019-05-10,1167.64,4,-0.06878708647116849
2019-05-17,1168.78,4,-0.018418729771762288
2019-05-24,1138.61,4,0.0009763283203725326
2019-05-31,1106.5,4,-0.02581324115744632
2019-06-07,1068.37,4,-0.028201052160089835
2019-06-14,1086.3,4,-0.03446000903750579
2019-06-21,1125.37,4,0.016782575325027915
2019-06-28,1082.8,4,0.03596612353861728
2019-07-05,1132.66,4,-0.03782755893617207
2019-07-12,1145.34,4,0.04604728481714093
2019-07-19,1131.55,4,0.011194886373668833
2019-07-26,1245.22,4,-0.012040092898178645
2019-08-02,1196.32,4,0.10045512792187705
2019-08-09,1188.9,4,-0.03927016912674075
2019-08-16,1179.21,4,-0.006202353885247924
2019-08-23,1153.58,4,-0.008150391117840106
2019-08-30,1190.53,4,-0.021734890307918087
2019-09-06,1206.32,4,0.032030721753151026
2019-09-13,1240.03,4,0.013263000512376832
2019-09-20,1229.84,4,0.02794449234034091
2019-09-27,1225.95,4,-0.008217543123956728
2019-10-04,1210.96,4,-0.0031630130748714347
2019-10-11,1215.71,4,-0.012227252334923944
2019-10-18,1244.41,4,0.003922507762436522
2019-10-25,1264.3,4,0.023607603787087372
2019-11-01,1272.25,4,0.01598347811412637
2019-11-08,1309.0,4,0.0062880645416436565
2019-11-15,1333.54,4,0.028885832187070193
2019-11-22,1293.67,4,0.018747135217723532
2019-11-29,1304.09,4,-0.029897865830796122
2019-12-06,1339.39,4,0.008054604342683902
2019-12-13,1346.87,4,0.027068683909853064
2019-12-20,1351.22,4,0.005584631810002794
2019-12-27,1354.64,4,0.0032297103655141157
2020-01-03,1361.52,4,0.0025310460176730665
2020-01-10,1428.96,4,0.00507884013464821
2020-01-17,1479.52,4,0.049532875022034295
2020-01-24,1466.17,4,0.03538237599372973
2020-01-31,1432.78,4,-0.009023196712447223
2020-02-07,1479.11,4,-0.02277362106713421
2020-02-14,1518.73,4,0.03233573891316177
2020-02-21,1483.46,4,0.026786378295055924
2020-02-28,1339.25,4,-0.023223351089397104
2020-03-06,1295.74,4,-0.09721192347619756
2020-03-13,1214.27,4,-0.03248833302221388
2020-03-20,1068.21,4,-0.0628752681865189
2020-03-27,1110.26,4,-0.12028626252810326
2020-04-03,1092.7,4,0.03936491888299121
2020-04-17,1279.0,4,-0.01581611514420045
2020-04-24,1276.6,4,0.17049510387114486
2020-05-01,1317.32,4,-0.0018764659890539992
2020-05-08,1384.34,4,0.031897227009243245
2020-05-15,1373.06,4,0.05087602101235844
2020-05-22,1413.24,4,-0.008148287270468235
2020-05-29,1433.52,4,0.02926310576376867
2020-06-05,1440.02,4,0.01435000424556332
2020-06-12,1412.92,4,0.004534293208326323
2020-06-19,1424.64,4,-0.01881918306690178
2020-06-26,1362.54,4,0.008294878690938035
2020-07-10,1539.01,4,-0.04358995956873324
2020-07-17,1516.85,4,0.1295154637662015
2020-07-24,1508.21,4,-0.01439886680398439
2020-07-31,1487.95,4,-0.005696014767445634
2020-08-07,1498.37,4,-0.013433142599505343
2020-08-14,1504.63,4,0.007002923485332158
2020-08-21,1575.57,4,0.004177873288974121
2020-08-28,1639.43,4,0.04714780377900207
2020-09-04,1581.21,4,0.040531363252664265
2020-09-11,1515.76,4,-0.03551234270447656
2020-09-18,1451.09,4,-0.04139235142707165
2020-09-25,1439.06,4,-0.04266506570961104
2020-10-02,1455.6,4,-0.008290319690715253
2020-10-09,1510.45,4,0.011493613886842668
2020-10-16,1567.7,4,0.03768205550975545
2020-10-23,1632.98,4,0.03790261180442922
2020-10-30,1616.11,4,0.04164062001658486
2020-11-06,1759.73,4,-0.01033080625604732
2020-11-13,1772.26,4,0.0888677132125908
2020-11-20,1736.38,4,0.007120410517522657
2020-11-27,1787.02,4,-0.02024533646304716
2020-12-04,1823.76,4,0.02916412306062033
2020-12-11,1774.8,4,0.020559366990856365
2020-12-18,1726.22,4,-0.02684563758389269
2021-01-08,1797.83,4,-0.027372098264593192
2021-01-15,1727.62,4,0.04148370427871306
2021-01-22,1892.56,4,-0.03905263567745565
2021-01-29,1827.36,4,0.09547238397332758
2021-02-05,2088.83,4,-0.03445069112736188
2021-02-12,2095.03,4,0.14308620085806845
2021-02-19,2088.81,4,0.002968168783481717
2021-02-26,2021.91,4,-0.0029689312324884254
2021-03-05,2097.07,4,-0.03202780530541305
2021-03-12,2050.0,4,0.03717277227967619
2021-03-19,2026.96,4,-0.022445602674207477
